SampleType,gDNA,gDNA,gDNA
Animal,m1,m1,m1
Tissue,kidney,liver,lung
variants,,,
cH001,0,0,0
cH002,0,0,1
cH003,0,0,0
cN001,0,0,0
cN002,0,0,1
cN003,0,0,1
cN004,2,1,0
cN005,1,1,0
cN006,1,0,0
cN007,0,0,1
cN008,0,1,0
cN009,1,2,0
cN010,0,0,0
cN011,0,0,2
cN012,0,0,0
cN013,2,4,6
cN014,0,0,0
cN015,2,0,1
cN016,0,0,1
cN017,0,0,1
cN018,0,0,1
cN019,0,0,0
cN020,1,0,0
cN021,0,0,0
cN022,0,0,0
cN023,0,0,0
cN024,0,0,0
cN025,0,0,0
cN026,0,0,0
cN027,0,0,2
cN028,0,0,0
cN029,1,0,0
cN030,0,2,1
cN031,0,0,0
cN032,0,1,1
cN033,0,0,0
cN034,0,1,0
cN035,1,1,2
cN036,1,0,0
cN037,1,0,0
cN038,0,0,0
cN039,0,1,1
cN040,0,0,1
cN041,1,0,0
cN042,1,1,0
cN043,1,0,0
cN044,0,0,0
cN045,0,0,0
cN046,0,1,2
cN047,0,0,0
cN048,1,2,1
cN049,0,1,0
cN050,0,1,1
cN051,4947,4935,4826
cN052,0,1,0
cN053,0,0,1
cN054,0,1,1
cN055,0,1,0
cN056,1,0,0
cN057,0,0,0
cN058,1,1,1
cN059,0,0,0
cN060,0,0,0
cN061,1,1,2
cN062,0,0,0
cN063,0,0,0
cN064,1,1,0
cN065,2,2,5
cN066,0,0,0
cN067,1,0,0
cN068,0,0,0
cN069,2,1,0
cN070,0,1,0
cN071,0,0,0
cN072,9,4,2
cN073,3,0,0
cN074,0,0,1
cN075,2,0,1
cN076,0,0,0
cN077,0,0,0
cN078,1,1,1
cN079,0,0,0
cN080,2,2,3
cN081,0,0,0
cN082,0,0,1
cN083,0,0,0
cN084,0,0,1
cN085,0,1,0
cN086,0,0,0
cN087,0,0,0
cN088,0,0,0
cN089,1,0,3
cN090,0,1,0
cN091,0,0,0
cN092,0,0,0
cN093,0,1,0
cN094,0,0,0
cN095,0,0,0
cN096,3,1,1
cN097,1,0,1
cN098,0,0,0
cN099,0,0,0
cN100,0,0,0
cN101,5,4,2
cN102,0,0,1
cN103,0,0,0
cN104,0,0,0
cN105,0,0,0
cN106,0,0,2
cN107,0,0,0
cN108,0,0,3
cN109,0,1,0
cN110,1,1,0
cN111,0,0,1
cN112,0,0,0
cN113,0,0,0
cN114,0,0,0
cN115,0,1,0
cN116,0,0,0
cN117,0,0,0
cN118,0,0,0
cN119,0,0,1
cN120,0,1,0
cN121,2,1,2
cN122,1,0,2
cN123,0,0,0
cN124,0,0,0
cN125,0,0,0
cN126,0,0,0
cN127,0,0,0
cN128,0,0,0
cN129,0,0,0
cN130,0,0,0
cN131,0,1,0
cN132,1,0,0
cN133,0,1,1
cN134,4,0,4
cN135,0,0,0
cN136,0,0,0
cN137,0,0,0
cN138,0,0,0
cN139,0,0,0
cN140,0,1,0
cN141,0,0,0
cN142,1,0,0
cN143,0,0,0
cN144,0,1,0
cN145,0,1,0
cN146,0,0,0
cN147,1,0,0
cN148,0,0,0
cN149,0,0,0
cN150,0,0,1
cN151,0,0,0
cN152,0,0,0
cN153,1,0,0
cN154,0,2,2
cN155,0,0,0
cN156,0,0,1
cN157,0,1,0
cN158,0,0,0
cN159,0,1,0
cN160,0,0,0
cN161,0,2,1
cN162,0,0,0
cN163,2,4,5
cN164,1,1,1
cN165,0,1,0
cN166,0,0,0
cN167,1,1,0
cN168,0,0,0
cN169,0,0,0
cN170,0,0,1
cN171,0,0,0
cN172,0,0,0
cN173,1,2,0
cN174,0,1,2
cN175,2,3,0
cN176,0,0,0
cN177,0,0,0
cN178,0,0,0
cN179,1,0,0
cN180,4,5,5
cN181,0,0,0
cN182,0,0,0
cN183,0,1,0
cN184,0,0,0
cN185,1,1,0
cN186,0,0,0
cN187,0,0,0
cN188,25035,25167,25123
cN189,0,0,0
cN190,1,1,1
cN191,0,0,0
cN192,0,0,0
cN193,0,0,2
cN194,0,0,3
cN195,2,0,1
cN196,0,0,0
cN197,0,0,0
cN198,0,0,0
cN199,1,2,0
cN200,0,0,0
cN201,0,0,0
cN202,0,0,0
cN203,0,1,0
cN204,0,0,0
cN205,0,0,0
cN206,1,0,0
cN207,0,0,0
cN208,0,0,0
cN209,5,4,5
cN210,0,0,0
cN211,0,0,0
cN212,0,0,1
cN213,1,0,0
cN214,0,0,0
cN215,1,1,1
cN216,0,0,1
cN217,0,0,0
cN218,1,2,0
cN219,0,0,3
cN220,0,0,0
cN221,1,0,0
cN222,0,0,0
cN223,0,0,0
cN224,0,1,0
cN225,1,0,0
cN226,1,0,0
cN227,0,1,0
cN228,0,0,0
cN229,1,0,0
cN230,0,1,1
cN231,0,0,0
cN232,0,0,0
cN233,3,2,0
cN234,0,1,2
cN235,0,0,0
cN236,0,0,0
cN237,0,0,0
cN238,0,2,0
cN239,2,0,0
cN240,0,3,6
cN241,0,0,0
cN242,1,1,0
cN243,1,1,2
cN244,0,0,0
cN245,0,0,2
cN246,0,1,0
cN247,1,3,5
cN248,0,1,0
cN249,1,0,0
cN250,0,0,0
cN251,0,2,1
cN252,0,0,0
cN253,0,0,0
cN254,0,0,0
cN255,0,0,0
cN256,0,0,0
cN257,0,1,1
cN258,0,0,0
cN259,0,2,0
cN260,1,1,0
cN261,2,3,2
cN262,0,0,0
cN263,9960,9767,9929
cN264,0,0,0
cN265,1,3,7
cN266,0,1,0
cN267,1,0,0
cN268,0,0,0
cN269,1,1,2
cN270,0,1,3
cN271,1,0,0
cN272,0,0,0
cN273,0,0,0
cN274,0,0,0
cN275,0,0,0
cN276,0,3,0
cN277,0,0,0
cN278,1,0,0
cN279,1,1,0
cN280,2,1,0
cN281,0,0,0
cN282,1,0,1
cN283,1,0,1
cN284,2,2,1
cN285,0,0,0
cN286,0,0,0
cN287,0,1,0
cN288,0,0,0
cN289,0,0,0
cN290,0,0,0
cN291,0,0,0
cN292,4,2,4
cN293,0,1,0
cN294,0,2,0
cN295,0,0,0
cN296,0,0,0
cN297,0,0,0
cN298,0,1,1
cN299,1,0,0
cN300,0,0,1
cN301,2,0,1
cN302,0,0,0
cN303,1,0,0
cN304,0,0,0
cN305,0,0,0
cN306,0,2,2
cN307,0,0,0
cN308,0,0,0
cN309,1,1,0
cN310,1,0,0
cN311,1,3,1
cN312,0,0,0
cN313,0,0,0
cN314,0,1,1
cN315,0,0,0
cN316,0,0,0
cN317,0,0,0
cN318,0,0,0
cN319,1,2,0
cN320,1,3,0
cN321,1,0,0
cN322,0,0,0
cN323,0,0,0
cN324,0,0,0
cN325,0,0,0
cN326,0,0,0
cN327,0,1,0
cN328,0,1,0
cN329,0,3,3
cN330,0,0,0
cN331,0,0,0
cN332,0,0,0
cN333,0,0,0
cN334,0,0,0
cN335,0,0,0
cN336,0,0,1
cN337,2,1,0
cN338,0,0,1
cN339,0,1,1
cN340,1,1,2
cN341,0,0,0
cN342,0,0,0
cN343,0,1,0
cN344,0,0,0
cN345,1,3,0
cN346,0,2,0
cN347,1,1,1
cN348,0,0,0
cN349,6,3,2
cN350,0,0,0
cN351,0,0,0
cN352,0,0,0
cN353,0,3,2
cN354,0,0,0
cN355,3,1,1
cN356,1,3,2
cN357,1,0,0
cN358,0,0,0
cN359,2,0,0
cN360,0,0,2
cN361,1,1,0
cN362,0,0,0
cN363,0,0,0
cN364,0,0,1
cN365,0,0,0
cN366,0,0,0
cN367,1,3,1
cN368,0,0,0
cN369,1,2,1
cN370,4296,4436,4442
cN371,0,0,0
cN372,0,0,0
cN373,2,0,1
cN374,1,0,0
cN375,0,0,0
cN376,0,0,1
cN377,0,3,2
cN378,0,0,1
cN379,0,0,0
cN380,0,0,0
cN381,0,0,0
cN382,1,3,3
cN383,0,1,0
cN384,1,1,1
cN385,0,0,0
cN386,0,0,0
cN387,0,0,2
cN388,0,0,0
cN389,0,0,0
cN390,2,0,0
cN391,0,0,0
cN392,0,1,0
cN393,1,3,0
cN394,0,0,0
cN395,0,1,1
cN396,1,0,0
cN397,0,0,0
cN398,0,0,0
cN399,0,0,1
cN400,1,0,0
cN401,2,0,0
cN402,3,3,5
cN403,0,0,1
cN404,0,0,0
cN405,6,5,6
cN406,0,1,0
cN407,0,0,1
cN408,0,0,0
cN409,3,7,6
cN410,0,1,1
cN411,0,0,0
cN412,1,0,0
cN413,0,0,0
cN414,1,1,3
cN415,0,0,0
cN416,1,1,0
cN417,0,0,1
cN418,0,2,0
cN419,0,1,0
cN420,0,2,0
cN421,0,0,0
cN422,0,0,0
cN423,0,0,0
cN424,0,2,0
cN425,0,0,0
cN426,2,0,0
cN427,0,0,0
cN428,0,0,0
cN429,1,1,1
cN430,1,3,2
cN431,0,0,0
cN432,0,0,0
cN433,0,0,0
cN434,0,0,0
cN435,0,0,0
cN436,1,0,1
cN437,1,4,4
cN438,0,1,0
cN439,0,1,0
cN440,0,1,1
cN441,0,0,1
cN442,0,0,0
cN443,0,0,0
cN444,0,0,0
cN445,1,0,1
cN446,1,0,0
cN447,0,0,1
cN448,0,0,1
cN449,3,1,0
cN450,1,1,4
cN451,0,1,2
cN452,0,1,0
cN453,0,0,0
cN454,27,22,28
cN455,0,0,0
cN456,0,1,0
cN457,1,1,0
cN458,0,0,0
cN459,0,0,0
cN460,1,1,1
cN461,0,0,1
cN462,1,0,2
cN463,1,3,1
cN464,2,3,2
cN465,0,0,0
cN466,0,0,1
cN467,0,1,0
cN468,0,2,0
cN469,0,0,0
cN470,0,0,0
cN471,1,0,0
cN472,0,0,0
cN473,0,0,1
cN474,0,0,0
cN475,0,1,0
cN476,2,0,2
cN477,1,0,0
cN478,0,0,0
cN479,1,2,0
cN480,0,0,0
cN481,1,1,0
cN482,0,0,0
cN483,0,0,0
cN484,3,1,1
cN485,0,0,0
cN486,0,0,0
cN487,0,0,0
cN488,0,1,1
cN489,0,0,0
cN490,0,0,0
cN491,0,1,0
cN492,0,1,0
cN493,7,4,9
cN494,2,1,2
cN495,1,3,5
cN496,0,0,1
cN497,4,3,2
cN498,0,1,0
cN499,0,0,1
cN500,0,0,1
cN501,1,0,2
cN502,4,2,0
cN503,0,0,1
cN504,0,0,0
cN505,2,3,4
cN506,1,1,1
cN507,2,1,0
cN508,16,12,15
cN509,2,0,4
cN510,0,0,0
cN511,0,1,1
cN512,1,2,2
cN513,0,0,0
cN514,0,0,1
cN515,0,1,0
cN516,0,0,1
cN517,0,2,2
cN518,0,0,0
cN519,0,0,0
cN520,0,0,0
cN521,0,0,0
cN522,0,0,0
cN523,0,0,0
cN524,0,0,0
cN525,0,0,0
cN526,0,0,0
cN527,0,0,0
cN528,0,0,0
cN529,2,1,0
cN530,0,0,0
gN001,2,5,2
gN002,2,4,1
gN003,0,0,1
