SampleType,gDNA,gDNA,gDNA
Animal,m1,m1,m1
Tissue,kidney,liver,lung
variants,,,
cH001,0.0,0.0,0.0
cH002,0.0,0.0,2.239441035517535e-05
cH003,0.0,0.0,0.0
cN001,0.0,0.0,0.0
cN002,0.0,0.0,2.239441035517535e-05
cN003,0.0,0.0,2.239441035517535e-05
cN004,4.492060283449004e-05,2.240595102059107e-05,0.0
cN005,2.246030141724502e-05,2.240595102059107e-05,0.0
cN006,2.246030141724502e-05,0.0,0.0
cN007,0.0,0.0,2.239441035517535e-05
cN008,0.0,2.240595102059107e-05,0.0
cN009,2.246030141724502e-05,4.481190204118214e-05,0.0
cN010,0.0,0.0,0.0
cN011,0.0,0.0,4.47888207103507e-05
cN012,0.0,0.0,0.0
cN013,4.492060283449004e-05,8.962380408236428e-05,0.0001343664621310521
cN014,0.0,0.0,0.0
cN015,4.492060283449004e-05,0.0,2.239441035517535e-05
cN016,0.0,0.0,2.239441035517535e-05
cN017,0.0,0.0,2.239441035517535e-05
cN018,0.0,0.0,2.239441035517535e-05
cN019,0.0,0.0,0.0
cN020,2.246030141724502e-05,0.0,0.0
cN021,0.0,0.0,0.0
cN022,0.0,0.0,0.0
cN023,0.0,0.0,0.0
cN024,0.0,0.0,0.0
cN025,0.0,0.0,0.0
cN026,0.0,0.0,0.0
cN027,0.0,0.0,4.47888207103507e-05
cN028,0.0,0.0,0.0
cN029,2.246030141724502e-05,0.0,0.0
cN030,0.0,4.481190204118214e-05,2.239441035517535e-05
cN031,0.0,0.0,0.0
cN032,0.0,2.240595102059107e-05,2.239441035517535e-05
cN033,0.0,0.0,0.0
cN034,0.0,2.240595102059107e-05,0.0
cN035,2.246030141724502e-05,2.240595102059107e-05,4.47888207103507e-05
cN036,2.246030141724502e-05,0.0,0.0
cN037,2.246030141724502e-05,0.0,0.0
cN038,0.0,0.0,0.0
cN039,0.0,2.240595102059107e-05,2.239441035517535e-05
cN040,0.0,0.0,2.239441035517535e-05
cN041,2.246030141724502e-05,0.0,0.0
cN042,2.246030141724502e-05,2.240595102059107e-05,0.0
cN043,2.246030141724502e-05,0.0,0.0
cN044,0.0,0.0,0.0
cN045,0.0,0.0,0.0
cN046,0.0,2.240595102059107e-05,4.47888207103507e-05
cN047,0.0,0.0,0.0
cN048,2.246030141724502e-05,4.481190204118214e-05,2.239441035517535e-05
cN049,0.0,2.240595102059107e-05,0.0
cN050,0.0,2.240595102059107e-05,2.239441035517535e-05
cN051,0.1111111111111111,0.11057336828661693,0.10807542437407623
cN052,0.0,2.240595102059107e-05,0.0
cN053,0.0,0.0,2.239441035517535e-05
cN054,0.0,2.240595102059107e-05,2.239441035517535e-05
cN055,0.0,2.240595102059107e-05,0.0
cN056,2.246030141724502e-05,0.0,0.0
cN057,0.0,0.0,0.0
cN058,2.246030141724502e-05,2.240595102059107e-05,2.239441035517535e-05
cN059,0.0,0.0,0.0
cN060,0.0,0.0,0.0
cN061,2.246030141724502e-05,2.240595102059107e-05,4.47888207103507e-05
cN062,0.0,0.0,0.0
cN063,0.0,0.0,0.0
cN064,2.246030141724502e-05,2.240595102059107e-05,0.0
cN065,4.492060283449004e-05,4.481190204118214e-05,0.00011197205177587674
cN066,0.0,0.0,0.0
cN067,2.246030141724502e-05,0.0,0.0
cN068,0.0,0.0,0.0
cN069,4.492060283449004e-05,2.240595102059107e-05,0.0
cN070,0.0,2.240595102059107e-05,0.0
cN071,0.0,0.0,0.0
cN072,0.00020214271275520516,8.962380408236428e-05,4.47888207103507e-05
cN073,6.738090425173506e-05,0.0,0.0
cN074,0.0,0.0,2.239441035517535e-05
cN075,4.492060283449004e-05,0.0,2.239441035517535e-05
cN076,0.0,0.0,0.0
cN077,0.0,0.0,0.0
cN078,2.246030141724502e-05,2.240595102059107e-05,2.239441035517535e-05
cN079,0.0,0.0,0.0
cN080,4.492060283449004e-05,4.481190204118214e-05,6.718323106552604e-05
cN081,0.0,0.0,0.0
cN082,0.0,0.0,2.239441035517535e-05
cN083,0.0,0.0,0.0
cN084,0.0,0.0,2.239441035517535e-05
cN085,0.0,2.240595102059107e-05,0.0
cN086,0.0,0.0,0.0
cN087,0.0,0.0,0.0
cN088,0.0,0.0,0.0
cN089,2.246030141724502e-05,0.0,6.718323106552604e-05
cN090,0.0,2.240595102059107e-05,0.0
cN091,0.0,0.0,0.0
cN092,0.0,0.0,0.0
cN093,0.0,2.240595102059107e-05,0.0
cN094,0.0,0.0,0.0
cN095,0.0,0.0,0.0
cN096,6.738090425173506e-05,2.240595102059107e-05,2.239441035517535e-05
cN097,2.246030141724502e-05,0.0,2.239441035517535e-05
cN098,0.0,0.0,0.0
cN099,0.0,0.0,0.0
cN100,0.0,0.0,0.0
cN101,0.0001123015070862251,8.962380408236428e-05,4.47888207103507e-05
cN102,0.0,0.0,2.239441035517535e-05
cN103,0.0,0.0,0.0
cN104,0.0,0.0,0.0
cN105,0.0,0.0,0.0
cN106,0.0,0.0,4.47888207103507e-05
cN107,0.0,0.0,0.0
cN108,0.0,0.0,6.718323106552604e-05
cN109,0.0,2.240595102059107e-05,0.0
cN110,2.246030141724502e-05,2.240595102059107e-05,0.0
cN111,0.0,0.0,2.239441035517535e-05
cN112,0.0,0.0,0.0
cN113,0.0,0.0,0.0
cN114,0.0,0.0,0.0
cN115,0.0,2.240595102059107e-05,0.0
cN116,0.0,0.0,0.0
cN117,0.0,0.0,0.0
cN118,0.0,0.0,0.0
cN119,0.0,0.0,2.239441035517535e-05
cN120,0.0,2.240595102059107e-05,0.0
cN121,4.492060283449004e-05,2.240595102059107e-05,4.47888207103507e-05
cN122,2.246030141724502e-05,0.0,4.47888207103507e-05
cN123,0.0,0.0,0.0
cN124,0.0,0.0,0.0
cN125,0.0,0.0,0.0
cN126,0.0,0.0,0.0
cN127,0.0,0.0,0.0
cN128,0.0,0.0,0.0
cN129,0.0,0.0,0.0
cN130,0.0,0.0,0.0
cN131,0.0,2.240595102059107e-05,0.0
cN132,2.246030141724502e-05,0.0,0.0
cN133,0.0,2.240595102059107e-05,2.239441035517535e-05
cN134,8.984120566898008e-05,0.0,8.95776414207014e-05
cN135,0.0,0.0,0.0
cN136,0.0,0.0,0.0
cN137,0.0,0.0,0.0
cN138,0.0,0.0,0.0
cN139,0.0,0.0,0.0
cN140,0.0,2.240595102059107e-05,0.0
cN141,0.0,0.0,0.0
cN142,2.246030141724502e-05,0.0,0.0
cN143,0.0,0.0,0.0
cN144,0.0,2.240595102059107e-05,0.0
cN145,0.0,2.240595102059107e-05,0.0
cN146,0.0,0.0,0.0
cN147,2.246030141724502e-05,0.0,0.0
cN148,0.0,0.0,0.0
cN149,0.0,0.0,0.0
cN150,0.0,0.0,2.239441035517535e-05
cN151,0.0,0.0,0.0
cN152,0.0,0.0,0.0
cN153,2.246030141724502e-05,0.0,0.0
cN154,0.0,4.481190204118214e-05,4.47888207103507e-05
cN155,0.0,0.0,0.0
cN156,0.0,0.0,2.239441035517535e-05
cN157,0.0,2.240595102059107e-05,0.0
cN158,0.0,0.0,0.0
cN159,0.0,2.240595102059107e-05,0.0
cN160,0.0,0.0,0.0
cN161,0.0,4.481190204118214e-05,2.239441035517535e-05
cN162,0.0,0.0,0.0
cN163,4.492060283449004e-05,8.962380408236428e-05,0.00011197205177587674
cN164,2.246030141724502e-05,2.240595102059107e-05,2.239441035517535e-05
cN165,0.0,2.240595102059107e-05,0.0
cN166,0.0,0.0,0.0
cN167,2.246030141724502e-05,2.240595102059107e-05,0.0
cN168,0.0,0.0,0.0
cN169,0.0,0.0,0.0
cN170,0.0,0.0,2.239441035517535e-05
cN171,0.0,0.0,0.0
cN172,0.0,0.0,0.0
cN173,2.246030141724502e-05,4.481190204118214e-05,0.0
cN174,0.0,2.240595102059107e-05,4.47888207103507e-05
cN175,4.492060283449004e-05,6.72178530617732e-05,0.0
cN176,0.0,0.0,0.0
cN177,0.0,0.0,0.0
cN178,0.0,0.0,0.0
cN179,2.246030141724502e-05,0.0,0.0
cN180,8.984120566898008e-05,0.00011202975510295535,0.00011197205177587674
cN181,0.0,0.0,0.0
cN182,0.0,0.0,0.0
cN183,0.0,2.240595102059107e-05,0.0
cN184,0.0,0.0,0.0
cN185,2.246030141724502e-05,2.240595102059107e-05,0.0
cN186,0.0,0.0,0.0
cN187,0.0,0.0,0.0
cN188,0.5622936459807291,0.5638905693352154,0.5626147713530703
cN189,0.0,0.0,0.0
cN190,2.246030141724502e-05,2.240595102059107e-05,2.239441035517535e-05
cN191,0.0,0.0,0.0
cN192,0.0,0.0,0.0
cN193,0.0,0.0,4.47888207103507e-05
cN194,0.0,0.0,6.718323106552604e-05
cN195,4.492060283449004e-05,0.0,2.239441035517535e-05
cN196,0.0,0.0,0.0
cN197,0.0,0.0,0.0
cN198,0.0,0.0,0.0
cN199,2.246030141724502e-05,4.481190204118214e-05,0.0
cN200,0.0,0.0,0.0
cN201,0.0,0.0,0.0
cN202,0.0,0.0,0.0
cN203,0.0,2.240595102059107e-05,0.0
cN204,0.0,0.0,0.0
cN205,0.0,0.0,0.0
cN206,2.246030141724502e-05,0.0,0.0
cN207,0.0,0.0,0.0
cN208,0.0,0.0,0.0
cN209,0.0001123015070862251,8.962380408236428e-05,0.00011197205177587674
cN210,0.0,0.0,0.0
cN211,0.0,0.0,0.0
cN212,0.0,0.0,2.239441035517535e-05
cN213,2.246030141724502e-05,0.0,0.0
cN214,0.0,0.0,0.0
cN215,2.246030141724502e-05,2.240595102059107e-05,2.239441035517535e-05
cN216,0.0,0.0,2.239441035517535e-05
cN217,0.0,0.0,0.0
cN218,2.246030141724502e-05,4.481190204118214e-05,0.0
cN219,0.0,0.0,6.718323106552604e-05
cN220,0.0,0.0,0.0
cN221,2.246030141724502e-05,0.0,0.0
cN222,0.0,0.0,0.0
cN223,0.0,0.0,0.0
cN224,0.0,2.240595102059107e-05,0.0
cN225,2.246030141724502e-05,0.0,0.0
cN226,2.246030141724502e-05,0.0,0.0
cN227,0.0,2.240595102059107e-05,0.0
cN228,0.0,0.0,0.0
cN229,2.246030141724502e-05,0.0,0.0
cN230,0.0,2.240595102059107e-05,2.239441035517535e-05
cN231,0.0,0.0,0.0
cN232,0.0,0.0,0.0
cN233,6.738090425173506e-05,4.481190204118214e-05,0.0
cN234,0.0,2.240595102059107e-05,4.47888207103507e-05
cN235,0.0,0.0,0.0
cN236,0.0,0.0,0.0
cN237,0.0,0.0,0.0
cN238,0.0,4.481190204118214e-05,0.0
cN239,4.492060283449004e-05,0.0,0.0
cN240,0.0,6.72178530617732e-05,0.0001343664621310521
cN241,0.0,0.0,0.0
cN242,2.246030141724502e-05,2.240595102059107e-05,0.0
cN243,2.246030141724502e-05,2.240595102059107e-05,4.47888207103507e-05
cN244,0.0,0.0,0.0
cN245,0.0,0.0,4.47888207103507e-05
cN246,0.0,2.240595102059107e-05,0.0
cN247,2.246030141724502e-05,6.72178530617732e-05,0.00011197205177587674
cN248,0.0,2.240595102059107e-05,0.0
cN249,2.246030141724502e-05,0.0,0.0
cN250,0.0,0.0,0.0
cN251,0.0,4.481190204118214e-05,2.239441035517535e-05
cN252,0.0,0.0,0.0
cN253,0.0,0.0,0.0
cN254,0.0,0.0,0.0
cN255,0.0,0.0,0.0
cN256,0.0,0.0,0.0
