variants,SampleType,Animal,kidney,liver,lung,input_norm
cH001,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cH002,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cH003,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN001,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN002,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN003,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN004,gDNA,m1,88668045406.00056,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN005,gDNA,m1,44334.00053600001,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN006,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN007,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN008,gDNA,m1,44334.00053600001,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN009,gDNA,m1,44334.00053600001,88667.95673804382,0.044333956202043806,2.255607407204277e-05
cN010,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN011,gDNA,m1,44334.00053600001,44334.00053600001,88668045406.00056,2.2556051515991252e-11
cN012,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN013,gDNA,m1,22167.005809748684,44334.00053600001,66500.99526225132,9.022422862001654e-05
cN014,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN015,gDNA,m1,88667.95673804382,0.044333956202043806,44334.00053600001,2.255607407204277e-05
cN016,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN017,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN018,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN019,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN020,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN021,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN022,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN023,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN024,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN025,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN026,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN027,gDNA,m1,44334.00053600001,44334.00053600001,88668045406.00056,2.2556051515991252e-11
cN028,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN029,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
