variants,SampleType,Animal,kidney,liver,lung,input_norm
cH001,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cH002,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cH003,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN001,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN002,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN003,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN004,gDNA,m1,739497178646.0048,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN005,gDNA,m1,369748.4044488001,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN006,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN007,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN008,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN009,gDNA,m1,369748.4044488001,2070590.0296187834,0.44592503944032064,2.2447719043908196e-05
cN010,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN011,gDNA,m1,369748.4044488001,1035295.53245664,891851416656.2057,2.2447696596211602e-11
cN012,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN013,gDNA,m1,147899.40614931972,828236.4673771252,535110.5646014162,0.00011223850542875461
cN014,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN015,gDNA,m1,739496.4391495656,1.035294497162143,445925.48536536004,2.2447719043908196e-05
cN016,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN017,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN018,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN019,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN020,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN021,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN022,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN023,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN024,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN025,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN026,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN027,gDNA,m1,369748.4044488001,1035295.53245664,891851416656.2057,2.2447696596211602e-11
cN028,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN029,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN030,gDNA,m1,0.3697480347007654,2070590.0296187834,445925.48536536004,2.2447719043908196e-05
cN031,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN032,gDNA,m1,369748.4044488001,1035296567752.1725,445925931290.8454,2.2447696596211602e-11
cN033,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN034,gDNA,m1,0.3697480347007654,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN035,gDNA,m1,369748774197.2045,1035296567752.1725,891851416656.2057,2.2447696596211602e-11
cN036,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN037,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN038,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN039,gDNA,m1,0.3697480347007654,1035295.53245664,445925.48536536004,2.2447719043908196e-05
