This is cutadapt 5.2 with Python 3.12.0
Command line parameters: -a GGCTGG...TGGGCC --revcomp -e 0.1 -j 0 -o example_output/m1_input.barcodes.fasta example_data/raw_reads/m1_input.fastq.gz
Processing single-end reads on 16 cores ...

=== Summary ===

Total reads processed:                  47,839
Reads with adapters:                    45,536 (95.2%)
Reverse-complemented:                       43 (0.1%)
Reads written (passing filters):        47,839 (100.0%)

Total basepairs processed:     5,836,358 bp
Total written (filtered):      1,280,404 bp (21.9%)

=== Adapter 1 ===

Sequence: GGCTGG...TGGGCC; Type: linked; Length: 6+6; 5' trimmed: 45227 times; 3' trimmed: 45315 times; Reverse-complemented: 43 times

Minimum overlap: 3+3
No. of allowed errors:
1-6 bp: 0

No. of allowed errors:
1-6 bp: 0

Overview of removed sequences at 5' end
length	count	expect	max.err	error counts
3	85	747.5	0	85
4	19	186.9	0	19
5	2	46.7	0	2
6	20	11.7	0	20
7	10	11.7	0	10
8	9	11.7	0	9
14	2	11.7	0	2
36	1	11.7	0	1
42	1	11.7	0	1
43	2	11.7	0	2
44	36	11.7	0	36
45	8246	11.7	0	8246
46	7491	11.7	0	7491
47	6943	11.7	0	6943
48	5888	11.7	0	5888
49	6058	11.7	0	6058
50	5404	11.7	0	5404
51	4975	11.7	0	4975
52	22	11.7	0	22
53	3	11.7	0	3
54	1	11.7	0	1
55	2	11.7	0	2
56	2	11.7	0	2
85	1	11.7	0	1
86	1	11.7	0	1
97	2	11.7	0	2
98	1	11.7	0	1



Overview of removed sequences at 3' end
length	count	expect	max.err	error counts
3	131	747.5	0	131
4	84	186.9	0	84
5	2	46.7	0	2
6	1	11.7	0	1
26	1	11.7	0	1
48	2	11.7	0	2
49	23	11.7	0	23
50	4983	11.7	0	4983
51	5404	11.7	0	5404
52	6076	11.7	0	6076
53	5888	11.7	0	5888
54	6927	11.7	0	6927
55	7489	11.7	0	7489
56	8252	11.7	0	8252
57	34	11.7	0	34
58	2	11.7	0	2
59	1	11.7	0	1
65	1	11.7	0	1
71	1	11.7	0	1
72	1	11.7	0	1
75	1	11.7	0	1
81	1	11.7	0	1
82	1	11.7	0	1
83	1	11.7	0	1
84	2	11.7	0	2
85	2	11.7	0	2
87	2	11.7	0	2
89	1	11.7	0	1
93	1	11.7	0	1
