This is cutadapt 5.2 with Python 3.12.0
Command line parameters: -a GGCTGG...TGGGCC --revcomp -e 0.1 -j 0 -o example_output/m1_kidney.barcodes.fasta example_data/raw_reads/m1_kidney.fastq.gz
Processing single-end reads on 16 cores ...

=== Summary ===

Total reads processed:                  47,839
Reads with adapters:                    45,621 (95.4%)
Reverse-complemented:                       32 (0.1%)
Reads written (passing filters):        47,839 (100.0%)

Total basepairs processed:     5,836,358 bp
Total written (filtered):      1,273,629 bp (21.8%)

=== Adapter 1 ===

Sequence: GGCTGG...TGGGCC; Type: linked; Length: 6+6; 5' trimmed: 45286 times; 3' trimmed: 45400 times; Reverse-complemented: 32 times

Minimum overlap: 3+3
No. of allowed errors:
1-6 bp: 0

No. of allowed errors:
1-6 bp: 0

Overview of removed sequences at 5' end
length	count	expect	max.err	error counts
3	84	747.5	0	84
4	13	186.9	0	13
5	5	46.7	0	5
6	10	11.7	0	10
7	11	11.7	0	11
8	10	11.7	0	10
14	2	11.7	0	2
35	1	11.7	0	1
38	1	11.7	0	1
39	1	11.7	0	1
41	1	11.7	0	1
42	2	11.7	0	2
43	9	11.7	0	9
44	30	11.7	0	30
45	8154	11.7	0	8154
46	7444	11.7	0	7444
47	6902	11.7	0	6902
48	6148	11.7	0	6148
49	5954	11.7	0	5954
50	5420	11.7	0	5420
51	5036	11.7	0	5036
52	31	11.7	0	31
59	1	11.7	0	1
60	1	11.7	0	1
61	1	11.7	0	1
86	1	11.7	0	1
87	1	11.7	0	1
97	3	11.7	0	3
100	1	11.7	0	1
101	1	11.7	0	1
108	1	11.7	0	1
110	2	11.7	0	2
112	2	11.7	0	2
114	1	11.7	0	1
122	1	11.7	0	1



Overview of removed sequences at 3' end
length	count	expect	max.err	error counts
3	157	747.5	0	157
4	89	186.9	0	89
5	3	46.7	0	3
43	1	11.7	0	1
49	31	11.7	0	31
50	5046	11.7	0	5046
51	5429	11.7	0	5429
52	5971	11.7	0	5971
53	6148	11.7	0	6148
54	6899	11.7	0	6899
55	7441	11.7	0	7441
56	8129	11.7	0	8129
57	28	11.7	0	28
58	9	11.7	0	9
59	1	11.7	0	1
63	1	11.7	0	1
65	1	11.7	0	1
66	2	11.7	0	2
68	1	11.7	0	1
70	1	11.7	0	1
75	1	11.7	0	1
81	2	11.7	0	2
83	2	11.7	0	2
84	1	11.7	0	1
85	1	11.7	0	1
87	4	11.7	0	4
93	1	11.7	0	1
